plant,term,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,standardized_beta
Jylhämä,Intercept,0.26222465388728833,0.0111021316101901,23.619306912791885,2.441216630157701e-123,0.24046487577969206,0.2839844319948846,
Jylhämä,simulated_daily_outflow,0.7166701138253809,0.010496661078072273,68.27600781762104,0.0,0.6960970361544359,0.737243191496326,0.7754514308968536
Jylhämä,sin_doy,0.037158004017533094,0.006707838659931022,5.53948982695347,3.033540663702255e-08,0.024010881829962874,0.050305126205103315,0.05771420557883365
Jylhämä,cos_doy,0.10465645210093888,0.007151372733016,14.634456349585538,1.6932369596124528e-48,0.09064001910420574,0.11867288509767202,0.16244213625944653
Nuojua,Intercept,0.24847071896646641,0.011624926974117144,21.373959554299613,2.334689995024267e-101,0.22568628077428862,0.27125515715864423,
Nuojua,simulated_daily_outflow,0.7458722716916599,0.010618668656526588,70.24159956561239,0.0,0.7250600635611035,0.7666844798222163,0.7846866863301826
Nuojua,sin_doy,0.03486704944921114,0.006944134414578807,5.021079283259522,5.138194383195473e-07,0.021256796092831542,0.04847730280559073,0.05213213412265553
Nuojua,cos_doy,0.10594953228285657,0.007252976013331666,14.607732341608626,2.5072520626352282e-48,0.0917339605159936,0.12016510404971954,0.1583039274646046
Utanen,Intercept,0.22672342463617423,0.011530064977184286,19.66367276201955,4.415719326636423e-86,0.2041249125414864,0.24932193673086206,
Utanen,simulated_daily_outflow,0.7525179227185776,0.010471327887654817,71.86461266347695,0.0,0.7319944971884643,0.773041348248691,0.7950778209770957
Utanen,sin_doy,0.02528140009924104,0.006733143771748778,3.754769088002822,0.0001735013579756225,0.012084680803883257,0.038478119394598824,0.03850142157642441
Utanen,cos_doy,0.10255492208114678,0.007024938592471585,14.598693032142913,2.862809935046372e-48,0.08878629544629697,0.11632354871599658,0.15607541268872296
pälli,Intercept,0.2348365254700825,0.01158457092683336,20.271491016221436,2.2959431762959418e-91,0.21213118367713932,0.2575418672630257,
pälli,simulated_daily_outflow,0.7483307503117307,0.010122040006913071,73.9308232135658,0.0,0.7284919164481075,0.7681695841753539,0.801764121597469
pälli,sin_doy,0.02958023527879053,0.006603993565162377,4.479143564711093,7.494311848457616e-06,0.016636645736938002,0.042523824820643055,0.045234962194506
pälli,cos_doy,0.09506587548053105,0.006910493703882448,13.756741494044228,4.63972158301876e-43,0.08152155670553066,0.10861019425553145,0.14527791533921602
pyhäkoski,Intercept,0.22902312930229654,0.011688330615235085,19.59416933362389,1.7339216456721844e-85,0.20611442225703888,0.2519318363475542,
pyhäkoski,simulated_daily_outflow,0.7519692952156528,0.010215881147992836,73.60787428144619,0.0,0.7319465360952452,0.7719920543360604,0.8069476706727511
pyhäkoski,sin_doy,0.025384932683575306,0.00671632025498001,3.779589376303626,0.00015708720062608842,0.012221186875177615,0.038548678491973,0.038485499374911226
pyhäkoski,cos_doy,0.08779516843901794,0.006971349731550347,12.59371166557345,2.286629595019109e-36,0.07413157404154629,0.1014587628364896,0.13301299307122233
montta,Intercept,0.22100777817578343,0.011802094191491067,18.72614932484804,3.0305953376241007e-78,0.19787609861831157,0.2441394577332553,
montta,simulated_daily_outflow,0.758100398569235,0.010292121055133331,73.65832509238922,0.0,0.7379282119766473,0.7782725851618226,0.8071707170370944
montta,sin_doy,0.024028558208606263,0.006864161707625584,3.5005816051670644,0.0004642440770899235,0.010575048477601162,0.03748206793961136,0.03591385326230538
montta,cos_doy,0.08779422181943704,0.007096106325840992,12.372168311476385,3.697043902674532e-35,0.07388610899032184,0.10170233464855223,0.13113015202113593
Merikoksi,Intercept,0.1952033195536939,0.01356477524688421,14.390457342706917,5.940180227649645e-47,0.16861684861142043,0.2217897904959674,
Merikoksi,simulated_daily_outflow,0.7860205292216393,0.01141713212336019,68.84570667386694,0.0,0.7636433614531181,0.8083976969901606,0.7946309116898597
Merikoksi,sin_doy,0.024269932185867052,0.008272844227037708,2.9336865919156185,0.0033496224925300554,0.008055455451163044,0.04048440892057106,0.033527645608711555
Merikoksi,cos_doy,0.06756850717539632,0.007939057480003285,8.51089784216657,1.7259164962538997e-17,0.05200824044339657,0.08312877390739608,0.09327841502628767
